price,sqft_price,super_area_sqft,bhk,bathroom,balcony,covered_parking,open_parking,total_parking,facility_score,floor_number,total_floors,property_id,city_id,location_id,property_type_id,transaction_id,furnishing_id,overlooking_id,ownership_id,facing_id,floor_category_id
11500000.0,9500.0,1073.3333333333333,2,2.0,1.0,1,0,1,0,9.0,18.0,49,1,1672,0,0,1,1,1,2,2
24000000.0,13552.0,1771.0,4,4.0,2.0,1,0,1,0,4.0,10.0,50,1,579,4,0,2,4,1,0,2
20900000.0,12500.0,1675.0,3,3.0,2.0,1,0,1,0,4.0,10.0,51,1,218,0,0,2,4,1,0,2
7259999.999999999,7200.0,1008.0,2,2.0,2.0,1,0,1,0,4.0,10.0,52,1,1389,0,0,2,4,1,0,2
11100000.000000002,7950.0,1404.0,3,2.0,2.0,1,0,1,0,1.0,5.0,53,1,1674,1,0,2,4,1,0,1
7530000.0,6300.0,1195.0,3,3.0,2.0,1,0,1,0,4.0,10.0,54,1,121,0,0,2,4,1,0,2
7070000.0,7178.0,986.6666666666666,2,2.0,2.0,1,0,1,0,4.0,10.0,55,1,1722,0,0,2,4,1,0,2
11100000.000000002,9039.0,1024.0,3,2.0,1.0,1,0,1,0,5.0,24.0,56,1,2173,0,0,2,2,1,2,1
17800000.0,10267.0,1734.0,3,3.0,2.0,1,0,1,0,4.0,10.0,57,1,2519,1,0,1,4,1,0,2
6709999.999999999,6999.0,958.0,2,2.0,1.0,1,0,1,0,2.0,3.0,58,1,245,0,0,1,5,1,4,2
9620000.0,6700.0,1436.0,3,3.0,2.0,1,0,1,0,4.0,10.0,59,1,1675,0,0,2,4,1,0,2
13400000.0,13000.0,1102.6666666666667,2,2.0,2.0,1,0,1,0,3.0,3.0,60,1,457,0,0,2,4,1,1,0
32599999.999999996,12300.0,2080.0,4,3.0,2.0,1,0,1,0,9.0,19.0,61,1,1725,0,0,2,5,1,1,2
10000000.0,7199.0,1391.0,3,3.0,1.0,1,0,1,0,1.0,5.0,62,1,1276,1,0,2,1,1,0,1
10100000.0,10201.0,1324.0,2,2.0,2.0,1,0,1,0,1.0,3.0,63,1,176,1,0,2,5,1,0,2
6500000.0,5000.0,1666.6666666666667,2,2.0,1.0,1,0,1,0,4.0,10.0,64,1,733,4,0,2,1,1,4,2
12700000.0,8819.0,1480.0,3,3.0,2.0,1,0,1,0,1.0,3.0,65,1,217,0,0,2,3,1,1,2
7840000.000000001,8000.0,400.0,3,2.0,1.0,1,0,1,0,1.0,4.0,66,1,2173,0,0,2,3,1,0,1
6909999.999999999,8252.388535031845,837.3333333333334,2,2.0,1.0,0,1,1,0,2.0,3.0,67,1,1722,0,0,2,3,1,0,2
6800000.0,7907.0,1200.0,2,3.0,2.0,1,0,1,0,1.0,5.0,68,1,1768,0,0,2,5,1,0,1
8020000.0,6200.0,1733.3333333333333,2,2.0,1.0,1,0,1,0,2.0,4.0,69,1,459,0,0,2,3,1,1,2
10500000.0,11000.0,400.0,2,2.0,1.0,1,0,1,0,0.0,16.0,70,1,1104,0,0,2,3,1,0,1
8910000.0,8099.0,1100.0,3,3.0,2.0,0,1,1,0,3.0,4.0,71,1,665,0,0,2,3,1,1,0
8500000.0,5474.0,1333.3333333333333,3,3.0,1.0,1,0,1,0,4.0,14.0,72,1,1086,0,0,2,5,1,0,1
7409999.999999999,6500.0,1064.0,3,3.0,2.0,2,0,2,0,3.0,5.0,73,1,426,0,0,2,4,1,0,2
7800000.0,6500.0,1040.0,3,3.0,1.0,1,0,1,0,3.0,16.0,74,1,1722,0,0,2,3,1,0,1
16500000.0,10721.0,1539.0,3,2.0,1.0,1,0,1,0,3.0,5.0,75,1,2063,0,0,2,0,1,1,2
