city,price,sqft_price,posted_by,bhk,property_type,location,transaction,furnishing,bathroom,balcony,facing,overlooking,ownership,super_area_sqft,ready_to_move,covered_parking,open_parking,facility_score,floor_number,total_floors,has_overlooking,floor_ratio,log_price,floor_category,total_parking,has_parking,price_in_lakhs,area_per_bhk,lat,lon,price_segment,price_segment_by_city
chennai,25000000.0,6756.0,builder: the olympia group and the merlin group,3,flat,east coast road,new property,unfurnished,3.0,2.0,east,insignificant,freehold,3701.0,1,1,0,0,4.0,10.0,0,0.4,17.034386422832473,mid,1,1,250.0,1233.6666666666667,12.9779371,80.2590918,Mid-range,Premium
chennai,3700000.0,6457.0,unknown,2,flat,thirumazhisai,new property,unfurnished,2.0,2.0,east,insignificant,freehold,573.0,0,0,0,0,4.0,10.0,0,0.4,15.123843647884687,mid,0,0,37.0,286.5,13.004405329120878,80.19845550357142,Budget,Budget
chennai,3779999.9999999995,5554.0,unknown,1,flat,avadi,new property,unfurnished,1.0,2.0,north,insignificant,freehold,681.0,0,1,0,0,4.0,10.0,0,0.4,15.145234832146,mid,1,1,37.8,681.0,13.0403526,80.129575,Budget,Budget
chennai,9900000.0,7102.0,unknown,2,villa,avadi,new property,unfurnished,2.0,2.0,east,insignificant,freehold,1394.0,0,1,0,1,4.0,10.0,0,0.4,16.108045416114916,mid,1,1,99.0,697.0,13.0403526,80.129575,Affordable,Mid-range
chennai,3500000.0,6173.0,builder: vijay raja homes pvt. ltd.,2,flat,thirumazhisai,new property,unfurnished,2.0,2.0,east,insignificant,freehold,567.0,0,1,0,0,4.0,10.0,0,0.4,15.068273812173887,mid,1,1,35.0,283.5,13.004405329120878,80.19845550357142,Budget,Budget
chennai,3970000.0000000005,4899.0,unknown,2,villa,alamathi,new property,unfurnished,2.0,2.0,north,insignificant,freehold,810.0,0,1,0,0,4.0,10.0,0,0.4,15.19427690455251,mid,1,1,39.7,405.0,13.004405329120878,80.19845550357142,Budget,Budget
chennai,9560000.0,7464.0,unknown,3,flat,mangadu,new property,unfurnished,3.0,2.0,east,insignificant,freehold,1292.0,0,1,0,0,4.0,10.0,0,0.4,16.07309838963009,mid,1,1,95.6,430.6666666666667,13.0209113,80.1259365,Affordable,Mid-range
chennai,15100000.0,9607.0,unknown,3,flat,sanneerkuppam,new property,unfurnished,3.0,2.0,east,insignificant,freehold,1582.0,1,1,0,0,4.0,10.0,0,0.4,16.530205368010318,mid,1,1,151.0,527.3333333333334,13.004405329120878,80.19845550357142,Affordable,Mid-range
chennai,14400000.0,8196.0,builder: urbanrise,3,apartment,sholinganallur,new property,unfurnished,3.0,2.0,east,insignificant,freehold,1757.0,0,1,0,0,4.0,10.0,0,0.4,16.48273883399067,mid,1,1,144.0,585.6666666666666,12.9174426,80.2164902,Affordable,Mid-range
chennai,16299999.999999998,12788.0,builder: aanirudh flat promoters pvt ltd,3,apartment,koyambedu,new property,unfurnished,3.0,2.0,east,insignificant,freehold,1275.0,0,1,0,1,4.0,10.0,0,0.4,16.60667572712668,mid,1,1,162.99999999999997,425.0,13.0734496,80.1948363,Affordable,Mid-range
chennai,44400000.00000001,17070.0,builder: tvs emerald,4,apartment,anna nagar,new property,unfurnished,4.0,2.0,east,insignificant,freehold,2601.0,0,0,0,0,4.0,10.0,0,0.4,17.608750049924975,mid,0,0,444.00000000000006,650.25,13.0872004,80.2164421,Premium,Luxury
